Username,ID,Money Available,Role,Password,First Name,DOB,Flights Purchased,MinerAirlines Membership,Last Name,Updated Flights Purchased,Updated Money Available
rodneymcneil,743,14969.36,Employee,Fun!23,Rodney,2/11/03,0,FALSE,Mcneil,3,145.84674999999987
patriciahughes,1015,6439,Employee,Fun!23,Patricia,2/27/03,0,FALSE,Hughes,3,447.52087499999925
josephmacdonald,589,4973.31,Employee,Fun!23,Joseph,3/11/03,0,FALSE,Macdonald,9,11.014156250000276
michellepruitt,535,2202.92,Employee,Fun!23,Michelle,5/18/03,0,FALSE,Pruitt,11,25.34990625000021
katherinemcdonald,951,11694.47,Employee,Fun!23,Katherine,6/22/03,0,TRUE,Mcdonald,3,48.920249999999896
susangarcia,278,5108.06,Employee,Fun!23,Susan,8/11/03,0,TRUE,Garcia,5,29.894374999999854
paulherman,943,5201.29,Employee,Fun!23,Paul,10/27/03,0,FALSE,Herman,2,2.548875000000365
joshuabanks,716,3030.01,Employee,Fun!23,Joshua,1/3/04,0,FALSE,Banks,11,30.659593750000596
philipchaney,458,6056.5,Employee,Fun!23,Philip,2/27/04,0,FALSE,Chaney,8,19.748624999999663
dennissmith,745,9084.32,Employee,Fun!23,Dennis,3/28/04,0,TRUE,Smith,6,5.2268749999979605
alondragonzalezayala,53,4371.01,Employee,Fun!23,Alondra,4/12/04,0,TRUE,GonzalezAyala,10,1.7799999999993759
erinmejia,797,9233.21,Employee,Fun!23,Erin,5/1/04,0,FALSE,Mejia,5,95.54071875000002
ambersellers,489,14707.16,Employee,Fun!23,Amber,5/3/04,0,TRUE,Sellers,9,6.117718749999625
bretthiggins,880,12099.21,Employee,Fun!23,Brett,5/22/04,0,TRUE,Higgins,6,20.662374999999244
nancyrobles,528,14507.61,Employee,Fun!23,Nancy,9/3/04,0,TRUE,Robles,12,50.41215625000231
jillsolis,430,5495.43,Employee,Fun!23,Jill,9/11/04,0,FALSE,Solis,2,87.08768749999967
davidgardner,146,11941.78,Employee,Fun!23,David,9/16/04,0,TRUE,Gardner,15,8.39512499999924
donnatravis,393,7046.12,Employee,Fun!23,Donna,2/8/05,0,TRUE,Travis,6,45.02740625000024
kristinapatrick,434,10440.99,Employee,Fun!23,Kristina,2/16/05,0,FALSE,Patrick,5,29.58962499999984
darinporter,251,10517.57,Employee,Fun!23,Darin,4/28/05,0,FALSE,Porter,10,2.8528749999995426
davidjohnson,1003,7134.07,Employee,Fun!23,David,5/12/05,0,TRUE,Johnson,4,50.791406250000364
danielfoster,372,9765.82,Employee,Fun!23,Daniel,6/2/05,0,TRUE,Foster,5,27.80574999999874
bellaquintero,65,5818.66,Employee,Fun!23,Bella,8/29/05,0,TRUE,Quintero,10,32.32187500000089
tiffanymay,427,3804.06,Employee,Fun!23,Tiffany,9/17/05,0,FALSE,May,9,89.34562499999947
erikcase,244,14585.68,Employee,Fun!23,Erik,10/16/05,0,FALSE,Case,4,51.991281250000384
dianavalles,39,2484.87,Employee,Fun!23,Diana,10/27/05,0,TRUE,Valles,10,6.610218750000428
michaelmorton,521,4944.99,Employee,Fun!23,Michael,10/31/05,0,FALSE,Morton,10,8.602531250000169
amberconley,944,13882.93,Employee,Fun!23,Amber,12/7/05,0,FALSE,Conley,7,114.4795312499998
andrewmcclure,613,9537.31,Employee,Fun!23,Andrew,12/21/05,0,TRUE,Mcclure,4,49.90800000000013
courtneyolsen,1009,13060.42,Employee,Fun!23,Courtney,1/1/06,0,FALSE,Olsen,8,35.73587499999951
josephlewis,236,6471.9,Employee,Fun!23,Joseph,1/14/06,0,TRUE,Lewis,7,79.55621874999898
michellewood,481,8463.74,Employee,Fun!23,Michelle,3/9/06,0,FALSE,Wood,3,34.7880937499998
darrengibbs,612,4248.92,Employee,Fun!23,Darren,3/13/06,0,FALSE,Gibbs,6,109.69087499999989
lisapeters,860,7538.45,Employee,Fun!23,Lisa,3/25/06,0,FALSE,Peters,9,14.378249999999369
tyronejohnston,680,12694.42,Employee,Fun!23,Tyrone,7/11/06,0,TRUE,Johnston,9,21.000156250000828
tanyaturner,823,2607.1,Employee,Fun!23,Tanya,12/23/06,0,TRUE,Turner,5,104.48378125000028
christiansmith,224,3315.84,Employee,Fun!23,Christian,4/26/07,0,FALSE,Smith,6,19.94046875000008
emilybrady,439,13525.43,Employee,Fun!23,Emily,5/25/07,0,FALSE,Brady,11,59.234187500000054
jessicabarragan,45,7800.11,Employee,Fun!23,Jessica,6/21/07,0,FALSE,Barragan,9,57.8515937500006
jerrysmith,616,4846.93,Employee,Fun!23,Jerry,6/21/07,0,TRUE,Smith,12,14.988500000000329
joelwelch,562,5370.55,Employee,Fun!23,Joel,6/22/07,0,TRUE,Welch,3,35.76453124999989
princeeric,31,5257.78,Customer,Fun!23,Prince,7/11/07,0,FALSE,Eric,5,96.82474999999988
davidcosta,579,5741.56,Employee,Fun!23,David,11/20/07,0,TRUE,Costa,7,59.88862499999988
matthewerickson,261,6206.06,Employee,Fun!23,Matthew,11/23/07,0,TRUE,Erickson,4,51.90275000000054
annmiller,688,8539.17,Employee,Fun!23,Ann,12/30/07,0,TRUE,Miller,6,5.845343749998534
williehobbs,729,10310.26,Employee,Fun!23,Willie,3/7/08,0,TRUE,Hobbs,8,40.585874999999646
alyssapoole,675,12680.6,Employee,Fun!23,Alyssa,4/19/08,0,FALSE,Poole,11,16.736281249999635
juanbrock,839,10649.17,Employee,Fun!23,Juan,5/4/08,0,FALSE,Brock,6,1.92843749999912
brittanyhawkins,120,13786.13,Employee,Fun!23,Brittany,7/12/08,0,FALSE,Hawkins,8,22.948374999998435
ryanwilkins,446,12402.73,Employee,Fun!23,Ryan,7/17/08,0,FALSE,Wilkins,10,9.269374999999854
seanhull,406,4768.03,Employee,Fun!23,Sean,8/31/08,0,TRUE,Hull,10,89.37362499999938
christopherunderwood,735,9269.37,Employee,Fun!23,Christopher,9/18/08,0,FALSE,Underwood,10,22.841156250000466
jenniferpreston,983,4412.19,Employee,Fun!23,Jennifer,11/26/08,0,FALSE,Preston,7,36.86450000000002
angelbarber,495,4573.92,Employee,Fun!23,Angel,12/5/08,0,TRUE,Barber,4,23.812156250000328
craigfleming,832,12180.7,Employee,Fun!23,Craig,3/3/09,0,TRUE,Fleming,9,103.82299999999901
tanyakent,394,10311.63,Employee,Fun!23,Tanya,4/11/09,0,TRUE,Kent,6,40.18318749999747
lisabrown,353,10815.25,Employee,Fun!23,Lisa,5/29/09,0,TRUE,Brown,7,100.02768750000027
ianrybak,77,4027.63,Employee,Fun!23,Ian,7/28/09,0,FALSE,Rybak,3,65.22362499999943
krystalthompson,397,4713.24,Employee,Fun!23,Krystal,8/24/09,0,FALSE,Thompson,8,47.4057499999999
emmapadilla,431,14420,Employee,Fun!23,Emma,9/8/09,0,FALSE,Padilla,11,212.32621874999927
isabellagaytan,40,9753.18,Employee,Fun!23,Isabella,10/9/09,0,TRUE,Gaytan,5,50.43806250000033
rebeccabrown,436,11409.56,Employee,Fun!23,Rebecca,11/19/09,0,FALSE,Brown,10,43.36750000000048
tanyadavis,272,11584.88,Employee,Fun!23,Tanya,11/30/09,0,FALSE,Davis,5,39.02543749999995
edwardmolina,611,10414.86,Employee,Fun!23,Edward,12/20/09,0,FALSE,Molina,7,13.962593749999428
darleneshaw,496,13364.16,Employee,Fun!23,Darlene,1/26/10,0,FALSE,Shaw,7,113.17443750000007
jasonclark,677,5799.56,Employee,Fun!23,Jason,2/11/10,0,TRUE,Clark,7,0.03353124999955526
dereklopez,631,11344.7,Employee,Fun!23,Derek,3/21/10,0,TRUE,Lopez,10,71.75400000000195
hannahmaldonado,507,4646.32,Employee,Fun!23,Hannah,5/25/10,0,FALSE,Maldonado,5,33.50612499999981
ericaharrison,102,12441.5,Employee,Fun!23,Erica,6/18/10,0,FALSE,Harrison,10,171.01137499999982
mistyjimenez,570,13249.93,Employee,Fun!23,Misty,8/24/10,0,TRUE,Jimenez,5,23.03421874999988
robertpreston,104,11193.69,Employee,Fun!23,Robert,9/25/10,0,TRUE,Preston,10,25.48065625000092
kevinlarson,462,9528.52,Employee,Fun!23,Kevin,11/3/10,0,FALSE,Larson,7,5.112124999999011
ethanholmes,203,2511.64,Employee,Fun!23,Ethan,12/4/10,0,FALSE,Holmes,11,17.362406250001243
mariamitchell,298,4087,Employee,Fun!23,Maria,3/6/11,0,TRUE,Mitchell,3,5.4116249999998445
robertpark,225,11330.93,Employee,Fun!23,Robert,6/5/11,0,TRUE,Park,2,18.359781250000196
stevenhartman,661,8106.76,Employee,Fun!23,Steven,6/19/11,0,TRUE,Hartman,11,75.74618749999787
crystalrice,465,6443.27,Employee,Fun!23,Crystal,10/5/11,0,TRUE,Rice,6,55.95850000000006
victoriaellis,909,12204.76,Employee,Fun!23,Victoria,10/21/11,0,FALSE,Ellis,6,52.57893749999977
douglasmckay,972,10180.97,Employee,Fun!23,Douglas,11/6/11,0,TRUE,Mckay,4,3.2334999999999425
shannonholden,178,8125.55,Employee,Fun!23,Shannon,1/19/12,0,TRUE,Holden,6,27.40881250000041
karenzhang,265,10686.23,Employee,Fun!23,Karen,2/26/12,0,TRUE,Zhang,5,14.147937500001007
cassandracook,581,6823.96,Employee,Fun!23,Cassandra,6/27/12,0,TRUE,Cook,13,123.8943750000002
christopherlucero,864,10302.16,Employee,Fun!23,Christopher,7/3/12,0,TRUE,Lucero,6,58.85562499999901
kennethboyd,878,4746.76,Employee,Fun!23,Kenneth,9/16/12,0,TRUE,Boyd,4,35.20599999999979
susandavis,295,9520.93,Employee,Fun!23,Susan,10/5/12,0,TRUE,Davis,14,3.989874999998534
davidgross,247,7817.63,Employee,Fun!23,David,12/1/12,0,FALSE,Gross,10,32.64274999999867
nicolelloyd,852,6008.18,Employee,Fun!23,Nicole,12/2/12,0,FALSE,Lloyd,9,55.28787500000024
christinavaltierra,84,13817.91,Employee,Fun!23,Christina,12/15/12,0,FALSE,Valtierra,7,19.037656249999372
howarddavenport,752,9331.85,Employee,Fun!23,Howard,1/5/13,0,TRUE,Davenport,5,2.051625000000712
danamiller,842,13475.2,Employee,Fun!23,Dana,2/27/13,0,TRUE,Miller,11,29.52365624999966
shannonbennett,274,9289.35,Employee,Fun!23,Shannon,3/18/13,0,TRUE,Bennett,11,80.4628124999993
tammywaters,971,14426.84,Employee,Fun!23,Tammy,3/23/13,0,FALSE,Waters,10,42.94812500000057
brittanyray,229,13718.3,Employee,Fun!23,Brittany,4/10/13,0,FALSE,Ray,7,83.80725000000064
stevenowens,488,12865.75,Employee,Fun!23,Steven,6/28/13,0,FALSE,Owens,6,2.918499999999213
christopherberry,963,11750.51,Employee,Fun!23,Christopher,6/29/13,0,FALSE,Berry,8,95.86762500000015
elizabethcastillo,806,4725.51,Employee,Fun!23,Elizabeth,7/15/13,0,FALSE,Castillo,11,4.112437499999928
christinawheeler,348,2295.91,Employee,Fun!23,Christina,8/27/13,0,TRUE,Wheeler,9,51.55915625000105
aprillopez,915,11394.97,Employee,Fun!23,April,9/22/13,0,TRUE,Lopez,5,18.321749999999852
wendystanton,468,7846.66,Employee,Fun!23,Wendy,9/28/13,0,TRUE,Stanton,6,2.367749999999603
alejandramorris,250,10529.39,Employee,Fun!23,Alejandra,10/3/13,0,FALSE,Morris,3,5.251625000000331
johnblevins,692,5248.05,Employee,Fun!23,John,10/25/13,0,TRUE,Blevins,7,43.5118750000004
josephdavis,887,14785.5,Employee,Fun!23,Joseph,12/28/13,0,FALSE,Davis,5,14.629125000000244
lorettaphillips,654,2951.7,Employee,Fun!23,Loretta,6/21/14,0,FALSE,Phillips,8,96.25390624999973
michaelsmith,181,14063.32,Employee,Fun!23,Michael,6/27/14,0,TRUE,Smith,9,15.729468749999754
sariyahrussell,76,3201.11,Employee,Fun!23,Sariyah,7/23/14,0,FALSE,Russell,11,27.02599999999987
jamieconner,518,10170.73,Employee,Fun!23,Jamie,9/5/14,0,FALSE,Conner,8,28.066906249998226
jasonburke,160,13327.94,Employee,Fun!23,Jason,12/19/14,0,TRUE,Burke,10,40.9449062500002
jeffreybest,697,2464.7,Employee,Fun!23,Jeffrey,3/8/15,0,TRUE,Best,6,11.209562500000118
michaelwilliamson,833,4949.66,Employee,Fun!23,Michael,5/3/15,0,FALSE,Williamson,4,13.422312500000217
melissamccormick,105,13599.53,Employee,Fun!23,Melissa,6/15/15,0,TRUE,Mccormick,5,56.825999999999496
hollycruz,730,8843.47,Employee,Fun!23,Holly,7/4/15,0,FALSE,Cruz,10,82.19512500000015
anthonybrooks,594,4171.79,Employee,Fun!23,Anthony,7/26/15,0,FALSE,Brooks,5,20.27515625000052
juliangutierrez,484,2026.42,Employee,Fun!23,Julian,8/10/15,0,FALSE,Gutierrez,8,35.450500000000716
belledisney,21,8473.53,Customer,Fun!23,Belle,10/13/15,0,FALSE,Disney,10,3.560281249998468
williamortiz,676,6264.09,Employee,Fun!23,William,10/18/15,0,TRUE,Ortiz,3,63.39187500000094
danielledorsey,506,6709.54,Employee,Fun!23,Danielle,1/11/16,0,TRUE,Dorsey,7,14.39653124999991
kevinharrison,858,8452.33,Employee,Fun!23,Kevin,2/6/16,0,TRUE,Harrison,7,4.732499999999334
nicholasjackson,670,13163.92,Employee,Fun!23,Nicholas,3/3/16,0,TRUE,Jackson,9,61.722875000000386
melissamcdonald,652,12836.69,Employee,Fun!23,Melissa,3/8/16,0,FALSE,Mcdonald,2,0.6393125000002868
jeffreyluna,296,6808.21,Employee,Fun!23,Jeffrey,3/30/16,0,FALSE,Luna,9,38.95337499999974
richardsullivan,767,10680.67,Employee,Fun!23,Richard,5/21/16,0,FALSE,Sullivan,5,31.86849999999947
antoniobrooks,361,5880.07,Employee,Fun!23,Antonio,5/25/16,0,FALSE,Brooks,7,7.691374999999994
dorothycox,245,4654.17,Employee,Fun!23,Dorothy,7/1/16,0,TRUE,Cox,11,47.9488125000006
monicacraig,747,9054.41,Employee,Fun!23,Monica,8/31/16,0,FALSE,Craig,5,73.86118749999832
garymckenzie,921,14289.44,Employee,Fun!23,Gary,9/3/16,0,FALSE,Mckenzie,8,59.735593750000575
seanmedina,142,3110.38,Employee,Fun!23,Sean,9/4/16,0,TRUE,Medina,10,9.604218750000612
michaelthomas,777,7626.74,Employee,Fun!23,Michael,9/8/16,0,TRUE,Thomas,6,17.94637499999949
danielromero,284,6206.15,Employee,Fun!23,Daniel,12/27/16,0,TRUE,Romero,6,4.522374999999954
dorismoore,422,8779.28,Employee,Fun!23,Doris,1/3/17,0,TRUE,Moore,6,34.68056250000268
mariakelly,1025,8584.64,Employee,Fun!23,Maria,2/15/17,0,TRUE,Kelly,3,1.5953749999992368
justindavis,501,5937.48,Employee,Fun!23,Justin,2/20/17,0,TRUE,Davis,6,13.530375000000305
donaldduck,2,11582.71,Customer,Fun!23,Donald,3/21/17,0,TRUE,Duck,5,91.92762499999958
brittanyweaver,556,12829.88,Employee,Fun!23,Brittany,4/13/17,0,TRUE,Weaver,5,4.018624999999361
bruceclark,500,8986.5,Employee,Fun!23,Bruce,5/11/17,0,FALSE,Clark,5,17.37187499999959
timothywagner,1026,8005.23,Employee,Fun!23,Timothy,6/5/17,0,TRUE,Wagner,7,64.70812499999917
michaelmartinez,540,13615,Employee,Fun!23,Michael,10/15/17,0,TRUE,Martinez,12,21.34574999999927
anthonymoore,660,5910.57,Employee,Fun!23,Anthony,10/16/17,0,FALSE,Moore,3,36.99050000000025
keithellis,395,6711.7,Employee,Fun!23,Keith,11/3/17,0,FALSE,Ellis,10,28.04512499999896
teresastewart,712,2105.25,Employee,Fun!23,Teresa,12/12/17,0,TRUE,Stewart,3,57.019531249999915
danielolson,98,4290.23,Employee,Fun!23,Daniel,12/21/17,0,TRUE,Olson,12,17.774156250000296
markbutler,1021,11675.92,Employee,Fun!23,Mark,1/12/18,0,FALSE,Butler,7,25.601500000000343
brettwallace,881,2399.1,Employee,Fun!23,Brett,1/16/18,0,FALSE,Wallace,6,19.859125000000603
enriquerico,67,3597.56,Employee,Fun!23,Enrique,3/26/18,0,FALSE,Rico,7,47.12446874999915
lisastafford,377,9694.42,Employee,Fun!23,Lisa,4/3/18,0,FALSE,Stafford,4,11.211187500000193
johnhouse,875,2055.1,Employee,Fun!23,John,4/29/18,0,FALSE,House,8,42.65374999999972
dustinoliver,288,5531.93,Employee,Fun!23,Dustin,5/1/18,0,TRUE,Oliver,4,19.944374999999965
akinyemiakinjayeju,43,13288.33,Employee,Fun!23,Akinyemi,5/21/18,0,FALSE,Akinjayeju,8,51.91359375000111
herculesdisney,33,5299.83,Customer,Fun!23,Hercules,6/16/18,0,TRUE,Disney,7,1.8625312499999893
joseespinoza gonzalez,52,6918.51,Employee,Fun!23,Jose,6/19/18,0,TRUE,Espinoza Gonzalez,6,3.2905937499992177
ryanmcconnell,300,6127.08,Employee,Fun!23,Ryan,6/28/18,0,TRUE,Mcconnell,24,25.725625000001884
lindaalexander,459,8428.8,Employee,Fun!23,Linda,7/7/18,0,FALSE,Alexander,6,15.672624999999556
michelleray,771,9664.68,Employee,Fun!23,Michelle,1/2/19,0,TRUE,Ray,12,43.4184687500002
michelleholland,128,3573.22,Employee,Fun!23,Michelle,1/29/19,0,FALSE,Holland,8,24.72974999999977
danawilliams,94,6817.43,Employee,Fun!23,Dana,3/7/19,0,TRUE,Williams,8,49.02675000000053
dorismercado,475,8498.83,Employee,Fun!23,Doris,4/10/19,0,TRUE,Mercado,12,57.50249999999891
brookemaxwell,1035,4899.55,Employee,Fun!23,Brooke,6/21/19,0,FALSE,Maxwell,8,51.58812499999976
keithortiz,188,11014.86,Employee,Fun!23,Keith,8/23/19,0,FALSE,Ortiz,6,63.11175000000026
leonardking,705,3339.07,Employee,Fun!23,Leonard,9/16/19,0,TRUE,King,4,2.1802500000002
victoriamoses,525,7275.92,Employee,Fun!23,Victoria,9/19/19,0,FALSE,Moses,11,31.853031249999816
susanalvarez,214,8031.66,Employee,Fun!23,Susan,9/21/19,0,TRUE,Alvarez,8,5.717375000000999
jamespittman,177,4500.11,Employee,Fun!23,James,9/23/19,0,TRUE,Pittman,3,49.51125000000053
craigschaefer,268,13442.45,Employee,Fun!23,Craig,11/7/19,0,TRUE,Schaefer,8,48.392718749999986
shawnlee,813,10821.38,Employee,Fun!23,Shawn,12/28/19,0,TRUE,Lee,14,2.3817187499993935
thomaselliott,383,5735.63,Employee,Fun!23,Thomas,1/5/20,0,FALSE,Elliott,6,22.410437500000256
williamwolf,356,12372.13,Employee,Fun!23,William,1/23/20,0,FALSE,Wolf,5,48.75081250000096
emilyestes,810,12741.07,Employee,Fun!23,Emily,2/14/20,0,FALSE,Estes,4,6.496281249999129
kellyyu,223,7975.79,Employee,Fun!23,Kelly,3/9/20,0,FALSE,Yu,7,70.02340625000022
scottrose,399,7784.71,Employee,Fun!23,Scott,3/18/20,0,FALSE,Rose,8,65.08074999999964
geraldbaker,450,8280.34,Employee,Fun!23,Gerald,4/4/20,0,TRUE,Baker,4,25.786999999999807
lisayu,1023,3310,Employee,Fun!23,Lisa,5/4/20,0,TRUE,Yu,8,41.8741562499999
jasonskinner,460,12118.64,Employee,Fun!23,Jason,8/25/20,0,FALSE,Skinner,5,2.369000000000341
albertovillegas,87,3619.29,Employee,Fun!23,Alberto,12/6/20,0,FALSE,Villegas,12,49.42924999999792
rubenedwards,402,8497.03,Employee,Fun!23,Ruben,2/4/21,0,FALSE,Edwards,3,88.80859375000057
victoriamartin,152,8016.42,Employee,Fun!23,Victoria,2/28/21,0,FALSE,Martin,5,168.3040624999992
samanthathomas,437,4314.77,Employee,Fun!23,Samantha,4/20/21,0,TRUE,Thomas,8,16.793749999999278
sandrasutton,868,8832.72,Employee,Fun!23,Sandra,5/25/21,0,TRUE,Sutton,3,21.36800000000018
aliciamoran,816,14565.03,Employee,Fun!23,Alicia,6/5/21,0,TRUE,Moran,6,21.260625000000687
thomasbonilla,478,10657.63,Employee,Fun!23,Thomas,6/28/21,0,FALSE,Bonilla,4,68.10349999999994
sherriarmstrong,628,10954.82,Employee,Fun!23,Sherri,12/6/21,0,TRUE,Armstrong,9,44.28053124999971
stephanieobrien,799,10275.26,Employee,Fun!23,Stephanie,4/6/22,0,TRUE,Obrien,9,29.671156249999257
jamesking,123,8199.77,Employee,Fun!23,James,4/8/22,0,FALSE,King,3,88.61350000000058
elizabethtorres,754,7293.63,Employee,Fun!23,Elizabeth,6/29/22,0,TRUE,Torres,11,24.29875000000068
timothygreene,990,14385.64,Employee,Fun!23,Timothy,7/31/22,0,FALSE,Greene,17,27.450000000001467
reneebradley,113,2488.87,Employee,Fun!23,Renee,12/30/22,0,FALSE,Bradley,15,44.02937499999975
susanhumphrey,257,13515,Employee,Fun!23,Susan,2/16/23,0,FALSE,Humphrey,8,29.664187499998363
shawnsantos,996,14755.4,Employee,Fun!23,Shawn,3/30/23,0,FALSE,Santos,5,3.930218749999881
marycruz,292,2093.36,Employee,Fun!23,Mary,6/22/23,0,TRUE,Cruz,7,46.21925000000374
elizabethcruz,423,11955.03,Employee,Fun!23,Elizabeth,7/5/23,0,FALSE,Cruz,8,19.493812500000374
cynthiagiles,686,4374.01,Employee,Fun!23,Cynthia,9/9/23,0,FALSE,Giles,2,144.76849999999973
nicholasanderson,195,5080.43,Employee,Fun!23,Nicholas,10/5/23,0,FALSE,Anderson,11,30.56075000000007
douglashernandez,710,6676.97,Employee,Fun!23,Douglas,10/27/23,0,FALSE,Hernandez,3,60.75187500000038
cruellade vil,22,14678.39,Customer,Fun!23,Cruella,12/12/23,0,FALSE,De Vil,8,145.08443750000032
kellyjordan,724,6779.65,Employee,Fun!23,Kelly,1/4/24,0,TRUE,Jordan,5,17.728375000001165
joshuahickman,725,13684.53,Employee,Fun!23,Joshua,1/5/24,0,FALSE,Hickman,6,95.36224999999942
justinhawkins,895,8470.2,Employee,Fun!23,Justin,3/21/24,0,TRUE,Hawkins,10,10.927249999996889
ashleyromero,140,11534,Employee,Fun!23,Ashley,5/4/24,0,TRUE,Romero,7,50.44212500000054
michellemaldonado,192,13159.21,Employee,Fun!23,Michelle,5/31/24,0,FALSE,Maldonado,5,77.71384374999948
amybradley,309,4945.51,Employee,Fun!23,Amy,7/8/24,0,TRUE,Bradley,10,4.279875000002534
michaelmoran,159,6846.97,Employee,Fun!23,Michael,7/31/24,0,TRUE,Moran,6,3.7976249999985185
marissaoconnell,311,9561.55,Employee,Fun!23,Marissa,12/31/24,0,FALSE,Oconnell,3,83.80756250000047
jose luisrojas,73,13282.93,Employee,Fun!23,Jose Luis,3/16/25,0,TRUE,Rojas,11,102.00175000000088
tyronealvarado,882,2071.35,Employee,Fun!23,Tyrone,3/25/25,0,FALSE,Alvarado,9,2.0816562499999236
thomashall,709,8394.35,Employee,Fun!23,Thomas,5/11/25,0,FALSE,Hall,6,52.67537500000026
robertleblanc,572,13430.28,Employee,Fun!23,Robert,5/20/25,0,TRUE,Leblanc,5,104.63662500000021
andreramos,900,6374.36,Employee,Fun!23,Andre,5/29/25,0,FALSE,Ramos,5,19.57699999999987
colleenhall,793,14247.2,Employee,Fun!23,Colleen,8/3/25,0,TRUE,Hall,8,25.819781250000545
brandondillon,573,13941.5,Employee,Fun!23,Brandon,8/4/25,0,TRUE,Dillon,9,54.630999999999176
dennisreynolds,533,4885.82,Employee,Fun!23,Dennis,8/13/25,0,TRUE,Reynolds,10,34.48312499999952
michaelmccormick,738,7903.91,Employee,Fun!23,Michael,12/25/25,0,TRUE,Mccormick,4,33.61037499999975
sarahstanton,834,13200.19,Employee,Fun!23,Sarah,1/6/26,0,TRUE,Stanton,9,1.482249999999624
anitafletcher,753,2234.58,Employee,Fun!23,Anita,2/25/26,0,FALSE,Fletcher,4,2.992249999999558
victorharris,718,9693.39,Employee,Fun!23,Victor,5/20/26,0,TRUE,Harris,8,3.333437499999661
